gene,perm_importance_mean,perm_importance_std
IL32,0.00015595001456951695,7.785930116921586e-05
CD55,0.00015538602059950168,6.35933176586706e-05
STMN1,0.00015344485615417235,0.0001233139889575901
RRM2,0.0001528217097416129,8.538002162791772e-05
BDNF,0.00014563811984181775,5.070829801640193e-05
EDN1,0.00014433520923251564,4.108436636914133e-05
CDKN2B,0.0001430056699150639,7.807207593521438e-05
HSPA5,0.00014242867318334796,0.00010626768572168324
SLC16A6,0.00014155748745807716,4.332615448245747e-05
HSPA1B,0.0001409430571380099,7.655742471751148e-05
MAP1LC3B,0.00013903574124047858,9.759840504380086e-05
TUBA1C,0.00013678087082270586,9.177571569562667e-05
CCDC71L,0.00013530753019667108,7.781615306284333e-05
IGFBP7,0.0001352325588960257,9.390967363428723e-05
GCLC,0.0001337526544843648,7.261657746897689e-05
OASL,0.00012794153121591377,7.009853247034373e-05
ID3,0.000127046780120732,6.481377211001835e-05
MUCL1,0.00012671831188161288,4.3001668463149475e-05
DUSP6,0.0001265489767286687,9.360709287326206e-05
STC1,0.00012637251040326092,8.403073480908282e-05
PHLDA2,0.00012614143544558142,6.360018923852207e-05
ANGPTL4,0.00012538376253148353,0.00010379813316278866
NOX5,0.00012503117018713983,5.2911324251564925e-05
KCNE4,0.00012473715187570899,7.032061754965335e-05
FAM167B,0.00012343288264703433,4.277938247604235e-05
JUND,0.00012327554829809627,7.609435792695077e-05
MT-ND1,0.00012166167502184467,4.139449673344549e-05
EIF4A2,0.00012079339533662691,0.00011951715373337273
CKB,0.00012078394297927453,4.851997657561844e-05
RSRP1,0.00012025994037049293,7.643274704529711e-05
SERPINB2,0.00011806868597595832,3.984104992898406e-05
PMEPA1,0.00011721830707723812,0.00012769766023205226
CENPW,0.00011718128188192845,5.5539298582376134e-05
PTGS2,0.00011714963989052362,3.995930687901877e-05
MMP1,0.0001170574530415247,3.667219366154739e-05
KLF10,0.00011355307771085955,4.978262139244258e-05
HSP90B1,0.00011142029074823201,4.50880664107847e-05
QPRT,0.00011093044779334483,3.9451073942563226e-05
ISG15,0.00011086641642455985,0.00010608177998203494
HOMER3,0.00010645218054708972,9.144658275512186e-05
AKR1C3,0.0001064294920827269,0.00013876564408412824
ARID5B,0.00010638429926659309,4.768568230196427e-05
N4BP2L2,0.00010636011307458837,0.00014459250590228063
TUBA1B,0.00010590426388255026,5.796745736256777e-05
BCL2A1,0.0001039764919691044,5.4868126248506106e-05
ANXA3,0.00010382318324114737,9.534434529313594e-05
CXCL9,0.00010322271405346361,9.170489868502672e-05
HSPA8,0.00010224623910067842,0.00013961087248844274
DUSP1,0.00010180965657096142,0.00010046096475427747
CEBPB,0.00010177091940904992,9.191723953978043e-05
GADD45B,0.00010151229029088382,4.9986575624725435e-05
KLF2,0.00010119698054235071,2.674252949208723e-05
S100A13,9.983421722616903e-05,0.00013160090889486172
CXCL1,9.937508185524635e-05,0.00011629563473888936
SLC38A2,9.843120530516059e-05,8.867517750558327e-05
SLC7A11,9.716399680198551e-05,7.291301194145836e-05
MIR22HG,9.692798001750269e-05,6.0585582004920105e-05
AKAP12,9.645987021602575e-05,9.826607580624415e-05
AL355916.1,9.616634698108583e-05,2.254325935662312e-05
SH3BP5,9.46053804480873e-05,6.33089212474606e-05
CTSL,9.307091738860462e-05,0.00011262783293914851
SQLE,9.107523990680156e-05,4.975199401396698e-05
CTSC,9.062795071245189e-05,9.751971000443796e-05
CADM1,9.044117154886067e-05,7.643857752827481e-05
ERN1,8.995987811372119e-05,3.4464460458488545e-05
SKAP2,8.906317277684872e-05,0.00011457244021348539
HMGN2,8.83641326901885e-05,7.730333002500066e-05
FBXO32,8.588841432463079e-05,5.9726869706854416e-05
HJURP,8.475530556361077e-05,4.910796735233928e-05
TINAGL1,8.457132221889596e-05,0.00010065723354344097
SOX9,8.420087010849731e-05,3.65730030324006e-05
TRIB3,8.329046126666073e-05,5.872833642110417e-05
TUBA4A,8.308536591244975e-05,7.731058436865079e-05
CXXC5,8.1847349728148e-05,5.043705781198105e-05
ID2,8.176644815794942e-05,3.43196161285312e-05
THBS1,8.100999241659191e-05,8.667219030378995e-05
MAFB,8.049048229948896e-05,3.099374383248491e-05
HES1,7.973479986238541e-05,4.6224970296814836e-05
NEFL,7.940301752302758e-05,4.13483417364414e-05
CEMIP2,7.932371515295689e-05,4.553346080728746e-05
IL1RL1,7.919172453002554e-05,7.225286561218792e-06
PI3,7.899878720890596e-05,3.677854959363687e-05
POSTN,7.89526968991594e-05,3.810470029302315e-05
TCIM,7.87721286341303e-05,4.3877181470043094e-05
PKIB,7.851851589886216e-05,0.00011248723360255742
SETX,7.804209387007877e-05,3.423612345471582e-05
RAB27B,7.74249867005583e-05,3.141464549839087e-05
CRABP2,7.659014202207048e-05,3.355812265577037e-05
OGT,7.658607671058304e-05,5.059130261714369e-05
IER3,7.640082395122816e-05,4.885189343395338e-05
